Iteration,Cost,Temperature,Sequence
132,173,11,46873,19 16 18 12 13 6 20 14 8 4 15 1 2 7 3 9 5 11 10 17
133,181,10,89529,19 16 18 12 13 6 20 14 8 4 11 1 2 7 3 9 5 15 10 17
134,181,10,35052,19 16 15 12 13 6 20 14 8 4 11 1 2 7 3 9 5 18 10 17
135,177,9,832999,14 16 15 12 13 6 20 19 8 4 11 1 2 7 3 9 5 18 10 17
136,179,9,341349,14 16 15 12 13 6 11 19 8 4 20 1 2 7 3 9 5 18 10 17
137,177,8,874281,14 16 15 12 5 6 11 19 8 4 20 1 2 7 3 9 13 18 10 17
138,179,8,430567,14 16 15 12 5 6 11 19 9 4 20 1 2 7 3 8 13 18 10 17
139,161,8,009038,14 16 15 12 5 20 11 19 9 4 6 1 2 7 3 8 13 18 10 17
140,163,7,608586,14 16 15 12 20 5 11 19 9 4 6 1 2 7 3 8 13 18 10 17
141,149,7,228157,14 16 15 18 20 5 11 19 9 4 6 1 2 7 3 8 13 12 10 17
142,149,6,866749,14 16 15 18 20 5 11 19 9 4 6 1 2 7 3 8 13 12 10 17
143,149,6,523412,14 16 15 18 20 5 11 19 9 4 6 1 2 7 3 8 13 12 10 17
144,149,6,197241,14 16 15 18 20 5 11 19 9 4 6 1 2 7 3 8 13 12 10 17
145,149,5,887379,14 16 15 18 20 5 11 19 9 4 6 1 2 7 3 8 13 12 10 17
146,149,5,59301,14 16 15 18 20 5 11 19 9 4 6 1 2 7 3 8 13 12 10 17
147,149,5,313359,14 16 15 18 9 5 11 19 20 4 6 1 2 7 3 8 13 12 10 17
148,149,5,047691,14 16 15 18 9 5 11 19 20 4 6 1 2 7 3 8 13 12 10 17
149,151,4,795307,14 16 15 18 9 5 11 19 20 4 7 1 2 6 3 8 13 12 10 17
150,147,4,555541,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
151,147,4,327764,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
152,147,4,111376,20 16 15 18 9 5 11 19 14 4 7 1 2 6 3 8 13 12 10 17
